title,ncode,writer,story,biggenre,genre,keyword,length
シャーロット王女の死,N6773II,和執ユラ,"「シャーロット・カリスタ・リーヴズモア。お前に国家反逆の容疑がかかっている」
　温度のない声音を放った男は、この国の国王フレドリック。シャーロットの父親だ。
「弁明はあるか」
「――いいえ」
　シャーロットは悠然と微笑む。

「今この時をもって王太女の地位を剥奪。サージェント侯爵令息との婚約も破棄とする」

　罪を認めたことで、地位剥奪と婚約破棄が国王によって宣言され、シャーロットは投獄された――。

※短編『シャーロット王女の死』の連載版です。短編までの流れを加筆修正したもので、短編のその後のお話はエピローグ程度となります。設定の変更などありますので、短編の方は検索除外設定にしています。
※R15は念のためです。",1,101,R15 残酷な描写あり 恋愛 姉妹格差 王女 皇弟 魔術 ESN大賞５,230745
【本編完結】偽者に奪われた聖女の地位、なんとしても取り返さ……なくていっか！　～奪ってくれてありがとう。これから私は自由に生きます～,N9071IL,日之影ソラ,"異世界で村娘に転生したイリアスには、聖女の力が宿っていた。本来ノーマン公爵家に生まれるはずの聖女が一般人から生まれた事実を隠すべく、八歳の頃にノーマン公爵家に養子として迎え入れられるイリアス。
貴族としての振る舞い方や作法、聖女の在り方をみっちり教育され、家の人間や王族から厳しい目で見られ大変な日々を送る。そんなある日、事件は起こった。
イリアスと見た目はそっくり、聖女の力？も使えるもう一人のイリアスが現れ、自分こそが本物のイリアスだと主張し、婚約者の王子ですら彼女の味方をする。
このままじゃ聖女の地位が奪われてしまう。何とかして取り戻そう……ん？

別にいっか！
聖女じゃないなら自由に生きさせてもらいますね！

重圧、パワハラから解放された聖女の第二の人生がスタートする！！

コチラの作品の連載版です。
https://ncode.syosetu.com/n8335il/

総合ランキング日間・週間１位！！",1,101,異世界転生 身分差 日常 ヒーロー ラブコメ 女主人公 ハッピーエンド 追放 ざまぁ系 婚約破棄 パワハラ 聖女 運命の出会い 隣国の王子様 乗っ取り もう遅い,89697
王子様などいりません！～当て馬で脇役悪女な金持ち令嬢に転生していた私は、今世では贅沢三昧に過ごすことにしました,N3034IE,別所 燈 ,"　わがまま侯爵令嬢ローザ・クロイツァーは、初恋の王子アレックスと観劇の帰り、馬に蹴られてしまう。
そのおかげで、おでこに大きな傷が！
だが、それより重大なことに彼女は気付いてしまう。
「ここは前世で私が読んでいた漫画の世界。そして私は第一章で毒殺される脇役な悪役令嬢！」

前世は社畜で過労死。今世は超お金持ちの侯爵令嬢で毒殺予定。　
冗談じゃないわ。散財して長生きしてやる！　そんなローザの奮闘記。
仕掛けもなにもないコメディです。
感想返信たいへん遅れます。いそがしいときは閉じます。投稿優先です。ご了承くださいませ！
誤字脱字報告ありがとうございます。第5部分改稿入れました。初期部分ちょいちょい改稿入れています。
全93話最終回予定です！
日間総合３位ありがとうございます。2023/10/26 

皆様の応援のおかげで書籍化企画進行中です！　ありがとうございます！

",1,101,R15 異世界転生 悪役令嬢 女主人公 西洋 脇役　 前世チート 大金持ち 元社畜女子 コメディー ハッピーエンド,198827
離縁してくれと言われたので離縁しましたが,N8672IL,kae,"「ユリア。君は結婚して子供が生まれてから変わってしまった。全然僕の事を大事にしてくれなくなった。僕もう耐えられないんだ。離縁してください。」


生れたばかりの可愛いレオがいるのに、ある日突然、夫のケヴィンから離縁を迫られてしまったユリア。
父親に抱きしめられないレオが可哀そうで、なんとか考えを変えてもらえないかと説得する。

あんなに可愛いのだから、レオに会って、抱っこして、触れ合えば。その体温を感じて、最近笑うようになった世界一可愛い顔を見れば、きっと考えが変わるはず。


しかしケヴィンは自分のことばかりで、レオに見向きもしてくれない。離縁の考えを変えてくれない。
それどころか、２人きりで出かけるような親密な女性までいるらしい。



その噂を聞いたユリアは、従兄のセドリックに付き添われてケヴィンを問い詰めるが・・・。


「だーかーら！僕は君や！君の父親や！あとそこのセドリックから嫌味を言われて！！傷ついているんだって！！！それなのに君は仕事をしろとか、レオに会えとか、顔を合わせたら要求ばかりだ！！要求するまえにやることがあるだろう？？謝ったらどうなんだ！！」


セドリックが心底反省して謝れば、レオに会ってやると言うケヴィンを見て、ついにユリアの目が覚める。


「分かりました。もう結構ですので。謝りませんので、離縁いたしましょう。」
",1,101,シリアス 女主人公 ハッピーエンド,26337
おいおい、ちょっとチョロすぎません？,N5516IL,あやとり,"話によくある、男好き令嬢に引っかかる男って何？ありえるの？
ありえた！
マジかー。俺には通じないけどな！
見たらわかるじゃん！あの女は強かだぞ！

と友人にツッコミを入れる子爵令息の話。",1,101,異世界転生 ラブコメ ほのぼの ざまあ 溺愛 男主人公 女の武器,14656
ヒロインに転生したので、なんでも欲しがる妹に徹します,N9182IL,富士とまと,"ヒロインに転生しました。
姉からすべてを奪い取る妹ヒロイン。悪役令嬢に無実の罪をかぶせて追放したその後、反撃されざまぁされるヒロインです。修道院行きが約束されるなら、何でも欲しがる妹役を全うしようと思います！",1,101,異世界転生 悪役令嬢 ギャグ 女主人公 西洋 中世 ハッピーエンド,7160
捨てられ公爵夫人は、平穏な生活をお望みのようです,N4395IL,カレヤタミエ,"「君に伝えておくことがある。私は君を妻として愛するつもりはない」
結婚式が終わってやっと一息ついたところで夫になったばかりの
アレクシスにそう告げられたメルフィーナ。

アレクシスから開拓中の貧しい土地をもぎ取り、
公爵邸を後にしたメルフィーナの共はアレクシスのつけた
監視役の護衛騎士、セドリックと無口な侍女のマリーのみだった。

結婚直前に前世の記憶を取り戻したメルフィーナは、
ここが前世で雑学系乙女ゲームと揶揄された
「ハートの国のマリア」の世界であり、
自分がアレクシスルートの悪役、
メルフィーナ・フォン・オルドランドであると気づいてしまう。

家族とは不仲、結婚相手には愛する気も子供を作る気もないと
言われたメルフィーナは、何もかも馬鹿馬鹿しくなった。

実家も婚家も、もう知らない！　あんな男のために悪役になって
修道院送りになるのもまっぴら後免よ！

不遇に育ち不遇な結婚をしてしまったメルフィーナは、
家族も夫も関係なく勝手に幸せになろうと決意するのだった。

※異世界(恋愛)のカテゴリーで投稿していますが、中盤以降まで
恋愛要素はかなり薄くなっています。",1,101,R15 異世界転生 異世界転移 乙女ゲーム 悪役令嬢 女主人公 領地経営 生産 職人 料理 内政 魔法 ゲーム ハッピーエンド 中世,178932
『無能の悪童王子』は生き残りたい～恋愛スマホＲＰＧの噛ませ犬の第三王子に転生した僕が生き残る唯一の方法は、ヒロインよりも強いヤンデレ公爵令嬢と婚約破棄しないことでした～,N5277IL,サンボン,"「ハア……まあ、普段が普段だから、しょうがないよね……」

　デハウバルズ王国の第三王子ハロルドは、鏡に向かって溜息を吐く。

　それもそのはず。ハロルドは、前世でやり込んだ恋愛スマホＲＰＧ『エンゲージ・ハザード」に登場する、主人公のライバルの腰巾着で、いずれ処刑される運命にある噛ませ犬の最低キャラなのだから。

　しかもこのゲーム、恋愛ＲＰＧらしく最終目的は『世界一の婚約者を連れてくること』。
　ハロルドはチュートリアルで、いきなり婚約者である公爵令嬢と婚約破棄をして主人公に対抗するのだけど……その後は多くのヒロインを奪い合うものの、所詮は悲しき噛ませ犬。ヒロインと結ばれるはずもなく、最後は処刑される運命なのだ。

「と、とにかく死んでたまるか！　僕は絶対に生き残ってやるんだから！」

　そのためには、前世のゲームの知識を活かして強くなることを目指しつつ、一番最初に婚約破棄をする公爵令嬢と婚約破棄をせずに、ゲーム本編開始直後に婚約者争奪戦から離脱して、バッドエンドを回避することを決意するハロルド。
　何より、この公爵令嬢は、前世では最推しのキャラなのだから。

　でも、この公爵令嬢、本当はどんなヒロインよりも強く、どんなヒロインよりもヤンデレであることを、ハロルドはまだ知らない。

※総合日間６位、週間５位、月間８位
※ハイファンタジー日間１位、週間１位、月間３位",2,201,異世界転生 男主人公 悪役転生 婚約破棄 恋愛 溺愛 ヤンデレ ヒロイン最強 ざまぁ ざまあ ハッピーエンド,174757
みそっかす転生王女の婚活,N2523HV,佐倉えび,"私は幼い頃の言動から変わり者と蔑まれ、他国からも自国からも結婚の申し込みのない、みそっかす王女と呼ばれている。旨味のない小国の第二王女であり、見目もイマイチな上にすでに十九歳という王女としては行き遅れ。残り物感が半端ない。自分のことながらペットショップで売れ残っている仔犬という名の成犬を見たときのような気分になる。

兄はそんな私を厄介払いとばかりに嫁がせようと、今日も婚活パーティーを主催する（適当に）

もう、この国での婚活なんて無理じゃないのかと思いはじめたとき、私の目の前に現れたのは――


※アルファポリスさまにも掲載",1,101,異世界転生 婚活 溺愛 ハッピーエンド,15923
七年ぶりに帰ったら離婚されそうになった騎士の周章狼狽,N9496IL,みなべゆうり,戦場から帰ったら嫁がいなくて大パニックになった話,1,101,年の差 離婚 説得 強い嫁（物理） 気の利く馬 騎士 ハッピーエンド 男主人公,9884
